"screen_name","text","favorite_count","retweet_count","date_time","category","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","scorerow"
"DeanSeanFoy1","Labour will Protect Animal Welfare Rights in Parliament.

1. Defend the Hunting Ban.

2. Ban Wild Animals in Circuses.

3. End the Government’s Badger Cull.

4. Improve the Protection of Cats and Dogs.

5. Tackle Wildlife Crime.

6. Lead the Fight against global animal cruelty. https://t.co/nBStaCIuWs",126,95,"Sun Sep 22 00:19 2019","cage-free",6,2,1,5,1,1,2,2,9,4,33
"HeidiBearKaye1","RT @Deborah87164788 @HeidiBearKaye1 @natalia_doran The Uk is a sick corrupt place for innocent wildlife, the freaky unjust inhumane law on grey squirrels, threatens carer's with criminal prosecution for offering basic animal welfare rights, its unbelievable criminal cruelty from the government , we must fight this all the way",0,1,"Wed Jan 08 23:45 2020","cage-free",4,0,4,4,0,2,0,3,9,1,27
"com7tahir","Today i visited Peshawar Zoo and i faced very bad experience. From an animal rights standpoint, We don’t have the right to breed, capture and confine other animals. For me it depends greatly on scale, Animals in captivity suffer from stress, boredom, and confinement. https://t.co/IiOi9WHzpI",2,0,"Sat Feb 16 11:06 2019","eaa",3,0,1,3,0,5,0,1,8,1,22
"Bimbleur","RT @JoKingDevon @RuthTingay @lazerock @MarkAvery @ChrisGPackham @WildJustice_org It goes beyond the associated wildlife crime issue. It's a terrible waste of land, stolen biodiversity, climate damage, flood risk and mass cruelty to give very few people a quick thrill. It's not even hunting for food or culling for animal welfare. Its a sad sport",0,4,"Mon Sep 02 10:25 2019","cage-free",6,3,4,6,2,3,1,1,8,3,37
"TheTinselQueen","@ByronMurphy8 @hargrump @nutrition_long @CarnivoreIs @H0ld3nCau1f13ld @fattycuts @Arachnocat14 @Veganella_ @Plantbiased @23Hyper23 @susanfoertsch @Engineer4Health @RP_Fit @DMDent @YoAtomic @BarryCPearson @PrimalAwakening @PersephoneKores @awright4645 @_life_imperfect @FiberCarb @gpse7en @VeganRecovering @julestw9 @EngineerDiet @The_Luci_One @amcgrath815 @PurestVitality @Rob05651385 @UrbanCavemanYYC @CarnivoreAntMan @djbonesmccoy @Bewyds @JordanHedberg @DaveTheHerbi @patrick_kuehner @MMBTycalibre @GrahamCD62 @wardslady @StickmanBleedin @ZeroCarbSarah @Sadrien_GW2 @farahelnashi @Wright_Doug @SBakerMD #VeganHeart Fooled myself for 20 years as a vegetarian for the animals until I was awakened to the horror of the animal slaughter and horrific cruelty towards mother cows and helpless chickens. Vegan since 2013 Never will I go back to being a part of hideous cruelty! https://t.co/jms2B5OFNS",11,4,"Wed Feb 19 16:33 2020","vegan",5,2,6,7,1,8,2,1,8,1,41
"Kel70824886","@notstoppingat @GeorgeMonbiot Would you kill an insect/ rat ? I hate killing, vegetarian for decades,now mostly vegan. How many people have a go at someone for killing a fox/ deer/ badger, yet will eat cheap chicken, kill spiders/ rats. There is a lot of hypocrisy re killing wild animals/ domestic pets.",2,0,"Wed Feb 19 08:25 2020","vegan",3,0,2,5,0,3,1,0,8,1,23
"yjdhillhead","@FrankyJ_DST Horrible and disgusting of you to find it amusing. I hate rats and mice, they scare me but there are humane and quick kill traps.  Why torture it?",1,0,"Sat Jun 29 18:50 2019","other",5,2,4,6,1,3,1,0,7,2,31
"FanboyMidoriya","RT @tyrathetaurus Why black people should go vegan:
• 70-95% of us are allergic/intolerant to dairy.
• Being held captive and forced to do something you don't want to do is slavery – human or animal.
• 56% of black women (20+) are obese.
• 44% of black women (20+) have high blood pressure. https://t.co/NX0Y3x6bqw",0,105,"Sun Aug 25 20:48 2019","vegan",2,0,3,4,0,4,0,1,7,1,22
"mark_up","@Arshad_Daud Horrible. I've seen this happen in Taveuni too. AFAIK it's a recent thing (since 2006). This govt makes it very difficult to get bullets so gun-owners often can't help in cases like this. Instead of a humane instant death, they suffer terrible pain and terror for many minutes.",3,0,"Sun Aug 25 00:11 2019","other",4,2,3,7,0,3,1,0,7,1,28
"Lydia_Canaan","RT @Lydia_Canaan Speciesism is like racism except it’s discriminating based on species. This is human supremacy! We think we’re superior to animals, we steal their children, forcibly impregnate them, stab, exploit, torture &amp; slaughter them in order to eat them &amp; use their skin as leather #vegan https://t.co/J60gYJP3uk",0,1,"Fri Oct 11 21:32 2019","vegan",6,2,3,6,1,4,3,1,7,3,36
