"screen_name","text","favorite_count","retweet_count","date_time","category","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","scorerow"
"Vegan_Borg","RT @Bello_Kevy IM SCREAMING!!!!! 😂 https://t.co/RYnLxs6idm",0,445290,"Tue Oct 29 17:35 2019","vegan",1,0,1,1,0,0,0,0,1,0,4
"Loquita_Vegan","RT @skaijackson Y’all better leave me outta this https://t.co/apPXGIpZFK",0,181725,"Sun Sep 22 01:22 2019","vegan",0,0,0,0,0,1,1,0,1,0,3
"vegan_valerie","RT @Ebk_numba00 Twitter shows me new tips everyday for when I have a child https://t.co/NoA5teRJ06",0,173687,"Sun Nov 24 23:07 2019","vegan",0,1,0,0,1,0,0,0,0,1,3
"spooky_vegan","RT @mollandra my parents' wedding videographer intercut a clip from kermit and miss piggy's wedding into their service?? without asking??? https://t.co/XE7830mOwG",0,136154,"Fri Oct 11 00:29 2019","vegan",0,0,0,0,0,0,0,0,0,0,0
"plantbased_bae","RT @electriccfairy LOOK AT HER RUB HER FACE ON THE SOFT BLANKET https://t.co/brSUbhg43q",0,121510,"Tue Oct 29 19:18 2019","vegan",0,0,0,0,0,0,0,1,0,0,1
"aerial_vegan","RT @RidiculousDak Here’s a video you didn’t know you needed https://t.co/TZyhR9wMWA",0,99348,"Sat Nov 02 15:56 2019","vegan",0,0,0,0,0,0,0,0,0,0,0
"vegan_valerie","RT @okagalex $100 to any guy that will just shut the fuck up https://t.co/dntZxaQRFy",0,88701,"Tue Oct 29 09:34 2019","vegan",0,0,0,0,0,0,0,0,0,0,0
"plantbased_god","RT @stayfrea_ work ever kick your ass so bad you drive the speed limit home w/ no music playing?",0,86204,"Sat Feb 29 18:00 2020","vegan",2,0,1,1,1,2,0,0,3,1,11
"vegan_bacon","RT @6arks fuck it 

rave bananas  https://t.co/OQGnikDFiJ",0,72223,"Fri Nov 08 15:31 2019","vegan",1,0,1,0,1,0,1,1,1,1,7
"plantbased_bae","RT @Lexual__ “You’re not competitive at all” has me screaming https://t.co/4gxZSTiJdo",0,69941,"Sun Nov 24 06:05 2019","vegan",1,0,1,1,0,0,0,0,1,0,4
"vegan_valerie","RT @eatingclothes i wish men hadn’t put themselves in such a box to not dress freely anymore... imagine downgrading literally every decade to jeans and a plain shirt https://t.co/V6U1LaGSLO",0,63070,"Sat Dec 28 22:14 2019","vegan",0,0,0,0,1,0,0,1,0,1,3
"Nova_Vegan","RT @WhoaInteresting A German circus is using Holograms instead of live animals for a cruelty-free magical experience. And it's cool https://t.co/ZlOoMow40k",0,61487,"Fri Jun 07 14:25 2019","vegan",1,1,1,1,1,1,1,0,1,2,10
"Vegan_Nugget","RT @trappppo my dogs face when i go back into the house after i forget something https://t.co/btIuWwTSPu",0,60950,"Sun Sep 22 14:29 2019","vegan",0,0,0,0,0,0,0,0,1,0,1
"plantbased_bae","RT @rayyalex_ Stop policing what a CHILD should wear in their own home.

'there are men in the house'

What kind of men exactly? If they are aroused by children then they shouldn't be in the house period.",0,58961,"Fri Oct 11 18:00 2019","vegan",0,1,0,0,2,0,0,2,1,2,8
"vegan_valerie","RT @magalyyrodd rip to me https://t.co/1wMiRcE4ix",0,57243,"Wed Oct 23 18:26 2019","vegan",0,0,0,0,0,0,0,0,0,0,0
"alex_the_vegan","RT @nia_vibez Community college is still college and you’re still getting an education. You’ll save money and decrease student loans. Don’t be ashamed to say you go to a community college. Be proud that you are trying to something with your life. Not everybody is able to attend a university. https://t.co/O2uu2WoKBr",0,54685,"Tue Aug 20 00:43 2019","vegan",1,3,1,0,3,1,1,4,2,6,22
"plantbased_ed","RT @joepike Tried to show @BorisJohnson the picture of Jack Williment-Barr. The 4-year-old with suspected pneumonia forced to lie on a pile of coats on the floor of a Leeds hospital.

The PM grabbed my phone and put it in his pocket: 

@itvcalendar | #GE19 https://t.co/hv9mk4xrNJ",0,53831,"Mon Dec 09 20:18 2019","vegan",1,0,1,3,0,2,0,2,3,0,12
"kylektl99","RT @YOUNIVERSALL friendly reminder that you don’t have to be vegan nor vegetarian but you CAN reduce your consumption of meats, dairy and plastic products, to not only help your body and nourish it properly but to fucking be kind to the animals and planet",0,53460,"Mon Sep 02 13:06 2019","vegan",0,1,0,0,2,0,0,3,0,3,9
"Vegan_Kween","RT @kitttenqueen make your halloween accessible!

here is “happy halloween” in asl 🖤🎃 https://t.co/fZGtKWLH4S",0,49030,"Wed Oct 23 23:57 2019","vegan",0,1,0,0,1,0,0,1,0,2,5
"OGSociopath","RT @themaxclawson IHOB = 

I- if 
H- he says he’s  
O- gOt 
B - beef that I’m a vegetarian and I aint fucking scared of him",0,48586,"Mon Sep 02 15:57 2019","vegan",0,0,0,0,0,0,0,0,0,0,0
